Sub-theme name,Approved By,Date approved,Decision Notes,Descriptor,Development status,Framework database,Indicators,Practice domain,Status,Temp Filter,Theme database,ToC Stage
"Healthcare, Mental Health & Psychosocial Support",,,,"Ensuring that individuals and families have access to quality, affordable, and respectful healthcare services, including mental health and psychosocial support. This includes preventive and curative care, public health interventions, and counselling services that are culturally appropriate, confidential, and responsive to community needs—particularly for those experiencing trauma, chronic illness, or emotional distress.",Approved,,"Are healthcare services in your community accessible, affordable, and respectful of your cultural practices and needs? (https://www.notion.so/Are-healthcare-services-in-your-community-accessible-affordable-and-respectful-of-your-cultural-pr-34060bfb014e81d98c5fe61cb4f1baf0?pvs=21), Are mental health and counselling services available and accessible in your community without people fearing judgement or stigma? (https://www.notion.so/Are-mental-health-and-counselling-services-available-and-accessible-in-your-community-without-people-34060bfb014e8159b9b1f509a01318a0?pvs=21), Are people in your community who are experiencing trauma, grief, or emotional distress able to access psychosocial support and emotional care? (https://www.notion.so/Are-people-in-your-community-who-are-experiencing-trauma-grief-or-emotional-distress-able-to-acces-34060bfb014e811e9e9ef09f8be7f9ee?pvs=21), How have community health outcomes and preventive healthcare practices such as immunisation, antenatal care, and hygiene changed in your community over the past year? (https://www.notion.so/How-have-community-health-outcomes-and-preventive-healthcare-practices-such-as-immunisation-antenat-34060bfb014e818bb70bdfa85e8bc132?pvs=21)","Public Health, Systems Strengthening",Published to site,,Improved Quality of Social Services (https://www.notion.so/Improved-Quality-of-Social-Services-31060bfb014e80f99900c17d386393b3?pvs=21),2: Outcome
Social Protection for Vulnerable Groups,,,,"Expanding safety nets for individuals facing extreme poverty, displacement, or social exclusion, ensuring that vulnerable groups receive necessary support services.",Approved,,"Are social protection programmes — such as cash transfers, food aid, or disability grants — available and accessible to the most vulnerable people in your community? (https://www.notion.so/Are-social-protection-programmes-such-as-cash-transfers-food-aid-or-disability-grants-availabl-34060bfb014e8158a2e3c70b22720f77?pvs=21), Can you name a specific facility or organisation where you or a vulnerable person in your community could go to access social protection services such as welfare support, food aid, or a disability grant? (https://www.notion.so/Can-you-name-a-specific-facility-or-organisation-where-you-or-a-vulnerable-person-in-your-community--34060bfb014e81ffb441c9dcdc0bd0ad?pvs=21), Do the most at-risk households in your community — such as female-headed, elderly-headed, or child-headed households — receive targeted support through social protection programmes? (https://www.notion.so/Do-the-most-at-risk-households-in-your-community-such-as-female-headed-elderly-headed-or-child-h-34060bfb014e8134a1cacb2f7032c43c?pvs=21), Have social protection programmes in your community — such as cash transfers, food support, or welfare grants — made a meaningful difference in reducing extreme poverty and social exclusion? (https://www.notion.so/Have-social-protection-programmes-in-your-community-such-as-cash-transfers-food-support-or-welfa-34060bfb014e8143b17de17749f3a1e6?pvs=21)",Social Work,Published to site,,Improved Quality of Social Services (https://www.notion.so/Improved-Quality-of-Social-Services-31060bfb014e80f99900c17d386393b3?pvs=21),2: Outcome
Equal Access to Resources & Opportunities,,,,"Women, marginalized groups, and persons with disabilities have equal access to land, education, employment, financial services, and decision-making spaces.",,,"Do women and marginalised groups in your community have equal access to key resources and opportunities such as land, education, employment, and financial services? (https://www.notion.so/Do-women-and-marginalised-groups-in-your-community-have-equal-access-to-key-resources-and-opportunit-34060bfb014e817fbd7ad38ffdb8f421?pvs=21), Has this project directly increased access for marginalised groups — including women, youth, and persons with disabilities — to land rights, financial services, or specialised training? (https://www.notion.so/Has-this-project-directly-increased-access-for-marginalised-groups-including-women-youth-and-per-34060bfb014e819e9b33fbadae402348?pvs=21)",,Not Published,,Transformations in Gender and Social Inclusion (https://www.notion.so/Transformations-in-Gender-and-Social-Inclusion-31060bfb014e8078987aea7fe16c28c6?pvs=21),
Equitable Access to Resources and Opportunities,,,,"Ensuring that all individuals—regardless of gender, age, ability, ethnicity, or social status—can access and benefit from key resources and opportunities such as education, healthcare, land, employment, financial services, and training. This sub-theme focuses on addressing structural inequalities and removing barriers that prevent marginalised groups from improving their well-being and achieving their full potential.",,,"Can people from all backgrounds in your community — including women, youth, persons with disabilities, and ethnic minorities — access education, healthcare, and social protection without discrimination or barriers? (https://www.notion.so/Can-people-from-all-backgrounds-in-your-community-including-women-youth-persons-with-disabilitie-34060bfb014e819ead80fd1fdee7dc19?pvs=21), What barriers, if any, have you or others in your group experienced when trying to access services or resources? (Select all that apply) (https://www.notion.so/What-barriers-if-any-have-you-or-others-in-your-group-experienced-when-trying-to-access-services-o-34060bfb014e81ea8de5db9a2b3c5c6c?pvs=21), Since this project began, has equitable access to resources and services for marginalised groups improved in your community? (https://www.notion.so/Since-this-project-began-has-equitable-access-to-resources-and-services-for-marginalised-groups-imp-34060bfb014e817183d3c4cd6a1340d6?pvs=21)",,Not Published,,Transformations in Gender and Social Inclusion (https://www.notion.so/Transformations-in-Gender-and-Social-Inclusion-31060bfb014e8078987aea7fe16c28c6?pvs=21),
Inclusive Leadership and Representation,,,,"Historically excluded groups are actively involved in governance, policy-making, and institutional leadership, ensuring diverse perspectives shape decisions.",,,"Are historically excluded groups — such as women, youth, persons with disabilities, or ethnic minorities — actively involved in governance, policy-making, and institutional leadership in your community? (https://www.notion.so/Are-historically-excluded-groups-such-as-women-youth-persons-with-disabilities-or-ethnic-minori-34060bfb014e815c84b9c9d590acc332?pvs=21), When marginalised groups participate in governance or leadership, do they genuinely shape decisions and outcomes, or is their presence largely token? (https://www.notion.so/When-marginalised-groups-participate-in-governance-or-leadership-do-they-genuinely-shape-decisions--34060bfb014e81be8db1ce2e7bc04d65?pvs=21), Since this project began, how has the representation of historically excluded groups in leadership and governance roles changed in your community? (https://www.notion.so/Since-this-project-began-how-has-the-representation-of-historically-excluded-groups-in-leadership-a-34060bfb014e81e0a8f9cc96ee5c69fe?pvs=21)",,Not Published,,Transformations in Gender and Social Inclusion (https://www.notion.so/Transformations-in-Gender-and-Social-Inclusion-31060bfb014e8078987aea7fe16c28c6?pvs=21),
Involvement in Collective Action and Advocacy,,,,"Community members—particularly women, youth, persons with disabilities, and other historically excluded groups—organise, mobilise, and advocate for their rights, needs, and priorities. This sub-theme tracks active engagement in community campaigns, movements, or initiatives that challenge injustice, influence decision-making, and foster solidarity.",,,"Are women and historically excluded groups in your community actively organising, mobilising, or advocating for their rights, needs, and priorities? (https://www.notion.so/Are-women-and-historically-excluded-groups-in-your-community-actively-organising-mobilising-or-adv-34060bfb014e81c6b192c6485c07bb53?pvs=21), Have you personally participated in any collective action, community campaign, or advocacy initiative that challenged injustice or sought to influence decisions affecting your community? (https://www.notion.so/Have-you-personally-participated-in-any-collective-action-community-campaign-or-advocacy-initiativ-34060bfb014e81c3b7b3c5a9276ac489?pvs=21), Have collective advocacy efforts by women or excluded groups in your community led to any visible changes in decisions, policies, or community practices? (https://www.notion.so/Have-collective-advocacy-efforts-by-women-or-excluded-groups-in-your-community-led-to-any-visible-ch-34060bfb014e81d190b4f4a7d262efa5?pvs=21)",,Not Published,,Transformations in Gender and Social Inclusion (https://www.notion.so/Transformations-in-Gender-and-Social-Inclusion-31060bfb014e8078987aea7fe16c28c6?pvs=21),
Clarity about the short-term and long-term benefits of the project,,,,"Ensuring that all stakeholders, particularly local communities, have a clear understanding of both the immediate and long-term benefits of the project. Clarity helps to manage expectations and promote trust in the project.",Approved,,"Do you have a clear understanding of both the short-term and long-term benefits this project is meant to provide to your community? (https://www.notion.so/Do-you-have-a-clear-understanding-of-both-the-short-term-and-long-term-benefits-this-project-is-mean-34060bfb014e813d87a2ed0751953026?pvs=21), Was information about the project's benefits explained to you in a language and format you could understand, and was it shared before the project began? (https://www.notion.so/Was-information-about-the-project-s-benefits-explained-to-you-in-a-language-and-format-you-could-und-34060bfb014e8110b488e8d17fe8b634?pvs=21), How confident are you that the benefits described for this project will actually be delivered to your community as promised? (https://www.notion.so/How-confident-are-you-that-the-benefits-described-for-this-project-will-actually-be-delivered-to-you-34060bfb014e8170931af11b77997940?pvs=21), Can you name one benefit you expect from this project in the near future, and one benefit you expect further into the future? (https://www.notion.so/Can-you-name-one-benefit-you-expect-from-this-project-in-the-near-future-and-one-benefit-you-expect-34060bfb014e81ab820cc75ae07e7037?pvs=21)","Community Development, Governance & Compliance",Published to site,,Benefit Sharing Mechanism (https://www.notion.so/Benefit-Sharing-Mechanism-31060bfb014e8091bcd9e992141e9138?pvs=21),1: Output
Plans in place to ensure that marginalized groups benefit,,,,"Ensuring that benefit-sharing mechanisms are inclusive and equitable, particularly for women, Indigenous Peoples, persons with disabilities, and other marginalized groups. ",Approved,,"Are you aware of any specific plans or measures in place to ensure that marginalised groups in your community — such as women, Indigenous Peoples, persons with disabilities, or youth — receive a fair share of project benefits? (https://www.notion.so/Are-you-aware-of-any-specific-plans-or-measures-in-place-to-ensure-that-marginalised-groups-in-your--34060bfb014e810a9effeec7da894089?pvs=21), In practice, do you believe that marginalised groups in your community are receiving an equal and fair share of project benefits? (https://www.notion.so/In-practice-do-you-believe-that-marginalised-groups-in-your-community-are-receiving-an-equal-and-fa-34060bfb014e81c0a90ff3241b44f37f?pvs=21), Which specific groups do you feel are being well included in project benefits, and which groups, if any, are being left out or receiving less? (https://www.notion.so/Which-specific-groups-do-you-feel-are-being-well-included-in-project-benefits-and-which-groups-if--34060bfb014e81f291efefea154b9f13?pvs=21), Were marginalised groups in your community involved in designing how project benefits would be shared, not just as recipients but in deciding how the process would work? (https://www.notion.so/Were-marginalised-groups-in-your-community-involved-in-designing-how-project-benefits-would-be-share-34060bfb014e8171b7d6e622a09b2866?pvs=21)","Community Development, Governance & Compliance",Published to site,,Benefit Sharing Mechanism (https://www.notion.so/Benefit-Sharing-Mechanism-31060bfb014e8091bcd9e992141e9138?pvs=21),1: Output
Potential negative unintended consequences considered & mitigated,,,,"Ensuring that benefit-sharing mechanisms do not inadvertently create harm, exclusion, or social and economic disparities. ",Approved,,"Have you noticed any problems or negative effects in your community caused by how project benefits are being shared? (https://www.notion.so/Have-you-noticed-any-problems-or-negative-effects-in-your-community-caused-by-how-project-benefits-a-34060bfb014e8134a0b3f36ef58d5f50?pvs=21), What kinds of problems have you noticed? (Select all that apply) (https://www.notion.so/What-kinds-of-problems-have-you-noticed-Select-all-that-apply-34060bfb014e811eb213cef16b0606bd?pvs=21), Do you believe that certain people, families, or groups in your community receive more project benefits than others due to favouritism or their connections to those in power? (https://www.notion.so/Do-you-believe-that-certain-people-families-or-groups-in-your-community-receive-more-project-benef-34060bfb014e810f973bd2dbbae8d2a2?pvs=21), Are you aware of any steps taken by the project to prevent or address potential negative effects or unfairness in how benefits are distributed? (https://www.notion.so/Are-you-aware-of-any-steps-taken-by-the-project-to-prevent-or-address-potential-negative-effects-or--34060bfb014e812d9c68f4a7ef44e7de?pvs=21)","Community Development, Governance & Compliance",Published to site,,Benefit Sharing Mechanism (https://www.notion.so/Benefit-Sharing-Mechanism-31060bfb014e8091bcd9e992141e9138?pvs=21),1: Output
Participatory Benefit-Sharing Design,,,,"Ensuring that a community-ratified Benefit Sharing Mechanism defines how carbon revenues flow from credit sales to households. It promotes transparency, equity, and collective decision-making in financial distribution.",Approved,,"Was your community actively involved in designing how project benefits would be shared — for example, deciding who is eligible, how much each group receives, and how payments are made? (https://www.notion.so/Was-your-community-actively-involved-in-designing-how-project-benefits-would-be-shared-for-example-34060bfb014e814f9dd1c1853a4f01fb?pvs=21), How would you describe the process used to design the benefit-sharing mechanism — was it transparent, fair, and did it respect the community’s input? (https://www.notion.so/How-would-you-describe-the-process-used-to-design-the-benefit-sharing-mechanism-was-it-transparent-34060bfb014e8106aa0ae6dca9bfd33e?pvs=21), If you or anyone in your community raised a concern or complaint about the benefit-sharing process, was it taken seriously and resolved fairly? (https://www.notion.so/If-you-or-anyone-in-your-community-raised-a-concern-or-complaint-about-the-benefit-sharing-process--34060bfb014e8114b735f6a2c108d5d7?pvs=21), Do you know whether your community has the right to withdraw or renegotiate the benefit-sharing arrangement during the project, and do you know how to do so? (https://www.notion.so/Do-you-know-whether-your-community-has-the-right-to-withdraw-or-renegotiate-the-benefit-sharing-arra-34060bfb014e8191abd3ef6319d302b2?pvs=21)","Community Development, Governance & Compliance",Published to site,,"Benefit Sharing Mechanism (https://www.notion.so/Benefit-Sharing-Mechanism-31060bfb014e8091bcd9e992141e9138?pvs=21), Preparatory Planning (https://www.notion.so/Preparatory-Planning-31360bfb014e8083af7ddf981439545f?pvs=21)",1: Output
Access to Financial Services & Asset Building,,,,"The extent to which individuals and households can access financial services—such as loans, savings accounts, and credit facilities—and their ability to build and sustain financial assets over time. ",Approved,,"Do you currently have access to and actively use any financial services such as a bank account, mobile money, savings group, microfinance, or credit facility? (https://www.notion.so/Do-you-currently-have-access-to-and-actively-use-any-financial-services-such-as-a-bank-account-mobi-34060bfb014e8168b799eabafbd44675?pvs=21), Which of the following financial services do you currently have access to? (Select all that apply) (https://www.notion.so/Which-of-the-following-financial-services-do-you-currently-have-access-to-Select-all-that-apply-34060bfb014e8172a5d0e764c0c4439c?pvs=21), Compared to one year ago, would you say your household has been able to build or protect its assets, such as savings, land, livestock, tools, or property? (https://www.notion.so/Compared-to-one-year-ago-would-you-say-your-household-has-been-able-to-build-or-protect-its-assets--34060bfb014e81a5b1a1e4681dcfd03f?pvs=21), In the past year, have you participated in any financial literacy training, savings programme, or financial management initiative supported by the project or a partner organisation? (https://www.notion.so/In-the-past-year-have-you-participated-in-any-financial-literacy-training-savings-programme-or-fi-34060bfb014e813f9529da7fb3c2059b?pvs=21), What did you participate in, and has it helped you manage your finances or access services differently? (https://www.notion.so/What-did-you-participate-in-and-has-it-helped-you-manage-your-finances-or-access-services-different-34060bfb014e815496ddc432a54bc102?pvs=21)",Economic Development,Published to site,,Economic Empowerment & Resilient Livelihoods (https://www.notion.so/Economic-Empowerment-Resilient-Livelihoods-31060bfb014e80e0a0a9ed6e5a2bfe92?pvs=21),2: Outcome
Employment secured,,,,"Access to stable, fair, and dignified employment opportunities, ensuring compliance with labor rights and equitable pay.",Approved,,"Do you believe that workers in your project receive equal pay for equal work, regardless of gender, ethnicity, or other factors? (https://www.notion.so/Do-you-believe-that-workers-in-your-project-receive-equal-pay-for-equal-work-regardless-of-gender--34060bfb014e8122a1bfd12588d44024?pvs=21), Have you ever experienced or witnessed discrimination in project-related activities (e.g., hiring, wages, promotions, participation in decision-making, access to benefits)? (https://www.notion.so/Have-you-ever-experienced-or-witnessed-discrimination-in-project-related-activities-e-g-hiring-w-34060bfb014e8194a9d3fb69952b822f?pvs=21), Is your current employment stable and long-term, providing consistent income and job security? (https://www.notion.so/Is-your-current-employment-stable-and-long-term-providing-consistent-income-and-job-security-34060bfb014e8177a4c2c6dbf829f37e?pvs=21), Do you believe your wages are fair for the work you do, and do you receive any employment benefits such as leave, health support, or allowances? (https://www.notion.so/Do-you-believe-your-wages-are-fair-for-the-work-you-do-and-do-you-receive-any-employment-benefits-s-34060bfb014e817aa623e410e33ecc79?pvs=21), Do you think all community members — including women, Indigenous Peoples, and persons with disabilities — have equal access to employment opportunities created or supported by the project? (https://www.notion.so/Do-you-think-all-community-members-including-women-Indigenous-Peoples-and-persons-with-disabilit-34060bfb014e81dbb5acc55a011d5980?pvs=21), Have you experienced or witnessed any unfair treatment or discrimination in employment-related activities in this project, for example in hiring, wages, or access to opportunities? (https://www.notion.so/Have-you-experienced-or-witnessed-any-unfair-treatment-or-discrimination-in-employment-related-activ-34060bfb014e81a3b756d29423390ce6?pvs=21)",Economic Development,Published to site,,Economic Empowerment & Resilient Livelihoods (https://www.notion.so/Economic-Empowerment-Resilient-Livelihoods-31060bfb014e80e0a0a9ed6e5a2bfe92?pvs=21),2: Outcome
Household Economic Stability & Income Growth,,,,"Changes in household income levels and overall economic well-being, assessing whether families experience increased financial security and reduced poverty.",Approved,,"Has your household's income changed over the past year, and do you feel more or less financially stable than before? (https://www.notion.so/Has-your-household-s-income-changed-over-the-past-year-and-do-you-feel-more-or-less-financially-sta-34060bfb014e818fb966e9bdb98f167f?pvs=21), If your household faced an unexpected financial emergency such as a medical expense, crop failure, or job loss, could you cover it through your savings or income without serious hardship? (https://www.notion.so/If-your-household-faced-an-unexpected-financial-emergency-such-as-a-medical-expense-crop-failure-o-34060bfb014e81d9b4a0f5e672f37dee?pvs=21), If your household faced an unexpected financial emergency, how would you most likely manage it? (Select all that apply) (https://www.notion.so/If-your-household-faced-an-unexpected-financial-emergency-how-would-you-most-likely-manage-it-Sel-34060bfb014e8182b687ef9611345db2?pvs=21), Have improvements in household incomes in your community led to broader positive changes in the community’s overall economic situation? (https://www.notion.so/Have-improvements-in-household-incomes-in-your-community-led-to-broader-positive-changes-in-the-comm-34060bfb014e811c9806d8a526230d88?pvs=21)",Economic Development,Published to site,,Economic Empowerment & Resilient Livelihoods (https://www.notion.so/Economic-Empowerment-Resilient-Livelihoods-31060bfb014e80e0a0a9ed6e5a2bfe92?pvs=21),2: Outcome
Livelihood diversification,,,,"Supporting individuals and communities in developing multiple income-generating activities to reduce economic vulnerability, increase financial stability, and enhance resilience to external shocks such as climate change, market fluctuations, and job loss.",Approved,,"How many different types of income-generating activities does your household currently rely on? (https://www.notion.so/How-many-different-types-of-income-generating-activities-does-your-household-currently-rely-on-34060bfb014e8135a13ae9dabf98a4c1?pvs=21), How has having multiple sources of income affected your household’s ability to cope with financial difficulties or unexpected challenges? (https://www.notion.so/How-has-having-multiple-sources-of-income-affected-your-household-s-ability-to-cope-with-financial-d-34060bfb014e812c8bc5d3572261fa7f?pvs=21), In the past year, have you or a household member participated in any training or programme to support livelihood diversification or income growth? (Select all that apply) (https://www.notion.so/In-the-past-year-have-you-or-a-household-member-participated-in-any-training-or-programme-to-suppor-34060bfb014e81278942cef84f71e8d5?pvs=21), How has livelihood diversification and the development of new income activities affected your community’s overall economic stability and resilience? (https://www.notion.so/How-has-livelihood-diversification-and-the-development-of-new-income-activities-affected-your-commun-34060bfb014e8171afc1ef5a789fbff1?pvs=21)",Economic Development,Published to site,,Economic Empowerment & Resilient Livelihoods (https://www.notion.so/Economic-Empowerment-Resilient-Livelihoods-31060bfb014e80e0a0a9ed6e5a2bfe92?pvs=21),2: Outcome
Self-employment & entrepreneurship growth,,,,"Support for small businesses, cooperatives, and local enterprises, fostering self-reliance and new income streams.",Approved,,"Is anyone in your household currently engaged in self-employment or running a business? (https://www.notion.so/Is-anyone-in-your-household-currently-engaged-in-self-employment-or-running-a-business-34060bfb014e813ba204c47ac4fa277e?pvs=21), Has self-employment or business ownership increased your household income over the past year? (https://www.notion.so/Has-self-employment-or-business-ownership-increased-your-household-income-over-the-past-year-34060bfb014e81db8900eaa8777be9a0?pvs=21), How has self-employment and business activity in your community affected the community’s overall economic stability and resilience? (https://www.notion.so/How-has-self-employment-and-business-activity-in-your-community-affected-the-community-s-overall-eco-34060bfb014e81f982dcd52277f71ded?pvs=21), In the past year, have you or a household member participated in any training or programme to support self-employment or business development? (Select all that apply) (https://www.notion.so/In-the-past-year-have-you-or-a-household-member-participated-in-any-training-or-programme-to-suppor-34060bfb014e81a78908f80eb6495bbc?pvs=21), Do project implementers, NGOs, or government representatives actively recognise and support local self-employment and business development in your community? (https://www.notion.so/Do-project-implementers-NGOs-or-government-representatives-actively-recognise-and-support-local-se-34060bfb014e81b18415feec27b055ad?pvs=21)",Economic Development,Published to site,,Economic Empowerment & Resilient Livelihoods (https://www.notion.so/Economic-Empowerment-Resilient-Livelihoods-31060bfb014e80e0a0a9ed6e5a2bfe92?pvs=21),2: Outcome
Socio-Economic Baselines,,,,Ensuring that rigorous socio-economic and High Conservation Value assessments are completed with community participation prior to implementation. It establishes an evidence-based foundation for monitoring social and ecological change.,Approved,,,"Community Development, Economic Development",Not Published,,Economic Empowerment & Resilient Livelihoods (https://www.notion.so/Economic-Empowerment-Resilient-Livelihoods-31060bfb014e80e0a0a9ed6e5a2bfe92?pvs=21),1: Output
Biodiversity & Ecosystem Conservation for Livelihoods,,,,"Protecting and restoring biodiversity and ecosystems to sustain and enhance local livelihoods. This includes conservation of forests, wetlands, and wildlife to support sustainable agriculture, fishing, ecotourism, and other nature-based economic activities. By maintaining healthy ecosystems, communities can improve food security, climate resilience, and long-term economic opportunities while ensuring the sustainable use of natural resources.",In development,,"Are community members in your area actively involved in biodiversity conservation activities such as forest patrols, seed collection, nursery management, or habitat restoration? (https://www.notion.so/Are-community-members-in-your-area-actively-involved-in-biodiversity-conservation-activities-such-as-34060bfb014e81a0b0fbc723fbca9fbf?pvs=21), How has biodiversity conservation in your area affected your household’s access to ecosystem services such as fertile soil, pollination, clean water, or medicinal plants? (https://www.notion.so/How-has-biodiversity-conservation-in-your-area-affected-your-household-s-access-to-ecosystem-service-34060bfb014e81d39a61f8df7c7e3e92?pvs=21), To what extent do community members in your area practise sustainable harvesting and responsible use of natural resources such as timber, fish, medicinal plants, or wild food? (https://www.notion.so/To-what-extent-do-community-members-in-your-area-practise-sustainable-harvesting-and-responsible-use-34060bfb014e81d2bf7dffbf7f229c08?pvs=21), How effective do you believe current forest protection and biodiversity conservation efforts in your area are in preventing deforestation and environmental degradation? (https://www.notion.so/How-effective-do-you-believe-current-forest-protection-and-biodiversity-conservation-efforts-in-your-34060bfb014e81f5b60bcda71375684b?pvs=21)",Environmental Management,Published to site,,Improved Ecosystem Services & Practices for Sustainable Livelihoods (https://www.notion.so/Improved-Ecosystem-Services-Practices-for-Sustainable-Livelihoods-31060bfb014e8034b00eef75e9399529?pvs=21),2: Outcome
Climate Regulation & Disaster Resilience,,,,"Strengthening the ability of ecosystems to mitigate floods, droughts, and extreme weather impacts.",In development,,"How has ecosystem protection and restoration in your area — such as forest conservation, wetland protection, or reforestation — affected your community’s ability to cope with floods, droughts, or extreme weather? (https://www.notion.so/How-has-ecosystem-protection-and-restoration-in-your-area-such-as-forest-conservation-wetland-pro-34060bfb014e813c89dae946334b5164?pvs=21), Which of the following climate-resilient practices or ecosystem restoration activities have you or your community adopted in the past year? (Select all that apply) (https://www.notion.so/Which-of-the-following-climate-resilient-practices-or-ecosystem-restoration-activities-have-you-or-y-34060bfb014e8135832fe0241b0b6bbf?pvs=21)",Environmental Management,Published to site,,Improved Ecosystem Services & Practices for Sustainable Livelihoods (https://www.notion.so/Improved-Ecosystem-Services-Practices-for-Sustainable-Livelihoods-31060bfb014e8034b00eef75e9399529?pvs=21),2: Outcome
Climate Resilience & Disaster Risk Reduction,,,,"Strengthening the ability of ecosystems to mitigate floods, droughts, and extreme weather impacts.",In development,,"In the past five years, how has the level of damage caused by floods or droughts in your community changed? (https://www.notion.so/In-the-past-five-years-how-has-the-level-of-damage-caused-by-floods-or-droughts-in-your-community-c-34060bfb014e81d89c01c7d09ea89a4a?pvs=21), How effective are the early warning systems in your community for floods, droughts, or extreme weather events? (https://www.notion.so/How-effective-are-the-early-warning-systems-in-your-community-for-floods-droughts-or-extreme-weath-34060bfb014e818da62cde2784bdbf51?pvs=21)",Environmental Management,Published to site,,Improved Ecosystem Services & Practices for Sustainable Livelihoods (https://www.notion.so/Improved-Ecosystem-Services-Practices-for-Sustainable-Livelihoods-31060bfb014e8034b00eef75e9399529?pvs=21),2: Outcome
Pollution Prevention & Waste Management,,,,"Reducing pollution from agricultural runoff, plastic waste, and industrial activities to protect soil, water, and air quality. Promoting circular economy practices, waste recycling, and responsible disposal methods.",In development,,"Are there functioning waste collection and disposal systems in your community that prevent rubbish from being dumped near rivers, forests, or farming areas? (https://www.notion.so/Are-there-functioning-waste-collection-and-disposal-systems-in-your-community-that-prevent-rubbish-f-34060bfb014e813f8c9bdbbdac8b53c5?pvs=21), Compared to a year ago, how has the amount of waste or rubbish dumped near rivers, forests, or farming land changed in your area? (https://www.notion.so/Compared-to-a-year-ago-how-has-the-amount-of-waste-or-rubbish-dumped-near-rivers-forests-or-farmi-34060bfb014e81a98abfe2ca86dd4e5b?pvs=21), Which of the following waste reduction or recycling practices do you or your household use? (Select all that apply) (https://www.notion.so/Which-of-the-following-waste-reduction-or-recycling-practices-do-you-or-your-household-use-Select--34060bfb014e81df966ec961e9bf898d?pvs=21), Have farming or agricultural practices in your community changed to reduce chemical runoff or contamination of soil and water from pesticides or fertilisers? (https://www.notion.so/Have-farming-or-agricultural-practices-in-your-community-changed-to-reduce-chemical-runoff-or-contam-34060bfb014e81ca9c01d2514697258a?pvs=21)",Environmental Management,Published to site,,Improved Ecosystem Services & Practices for Sustainable Livelihoods (https://www.notion.so/Improved-Ecosystem-Services-Practices-for-Sustainable-Livelihoods-31060bfb014e8034b00eef75e9399529?pvs=21),2: Outcome
Renewable Energy & Sustainable Energy Access,,,,"Expanding community access to clean energy sources, such as solar, wind, and bioenergy, to reduce reliance on fossil fuels, improve energy security, and support sustainable livelihoods.",In development,,"Does your household currently use any renewable energy systems — such as solar panels, biogas, or a community mini-grid — as a main or secondary source of power? (https://www.notion.so/Does-your-household-currently-use-any-renewable-energy-systems-such-as-solar-panels-biogas-or-a--34060bfb014e813dbf7be5bd821ee732?pvs=21), Which renewable or clean energy technologies does your household currently use? (Select all that apply) (https://www.notion.so/Which-renewable-or-clean-energy-technologies-does-your-household-currently-use-Select-all-that-app-34060bfb014e814eb5cfc5c95d82e68e?pvs=21), Has your household’s spending on fuel — such as kerosene or charcoal — or the time spent collecting firewood changed since access to clean energy improved in your area? (https://www.notion.so/Has-your-household-s-spending-on-fuel-such-as-kerosene-or-charcoal-or-the-time-spent-collecting--34060bfb014e8116a8ebd211a8596047?pvs=21), Has reliable access to clean energy in your community enabled new income-generating activities or expanded economic opportunities for households? (https://www.notion.so/Has-reliable-access-to-clean-energy-in-your-community-enabled-new-income-generating-activities-or-ex-34060bfb014e8129afb4d932125845c1?pvs=21)",Environmental Management,Published to site,,Improved Ecosystem Services & Practices for Sustainable Livelihoods (https://www.notion.so/Improved-Ecosystem-Services-Practices-for-Sustainable-Livelihoods-31060bfb014e8034b00eef75e9399529?pvs=21),2: Outcome
Sustainable Land & Soil Management,,,,"Promoting land-use practices that maintain soil health, improve agricultural productivity, and support ecosystem balance. This includes preventing land degradation, enhancing soil fertility, and ensuring that land-use decisions balance environmental conservation with sustainable livelihoods. Effective land and soil management practices contribute to food security, climate resilience, and long-term economic stability for communities.",In development,,"Have you adopted sustainable farming or land management practices such as no-till farming, cover cropping, composting, or integrated pest management? (https://www.notion.so/Have-you-adopted-sustainable-farming-or-land-management-practices-such-as-no-till-farming-cover-cro-34060bfb014e8170a05ddf3df77dc92e?pvs=21), Which of the following sustainable land and soil management practices do you currently use? (Select all that apply) (https://www.notion.so/Which-of-the-following-sustainable-land-and-soil-management-practices-do-you-currently-use-Select--34060bfb014e81a0a347c113b780b8c6?pvs=21), How confident do you feel in making independent decisions about land use and farming practices that balance environmental sustainability with your household’s livelihood needs? (https://www.notion.so/How-confident-do-you-feel-in-making-independent-decisions-about-land-use-and-farming-practices-that--34060bfb014e8125aca6eaa8dc56369b?pvs=21), How would you describe the health and fertility of the soil on your land compared to one year ago? (https://www.notion.so/How-would-you-describe-the-health-and-fertility-of-the-soil-on-your-land-compared-to-one-year-ago-34060bfb014e817489a2d272c76ff0cd?pvs=21)",Environmental Management,Published to site,,Improved Ecosystem Services & Practices for Sustainable Livelihoods (https://www.notion.so/Improved-Ecosystem-Services-Practices-for-Sustainable-Livelihoods-31060bfb014e8034b00eef75e9399529?pvs=21),2: Outcome
