Question Text,Answer Type,Description,Has Conditional Logic?,Indicator database,Logic Summary,Platform Question ID. Populated after upload,Required?,Response option set,Stakeholder Category,Status,Status 1,Subtheme,Theme
Can members of your household access the following services when needed? (Answer for each: Health services / Education services / Social protection) — Always / Sometimes / Rarely / Never / Don't know,Multiple Choice,"Measures whether household members can access essential services when needed. Goes beyond proximity to capture practical accessibility including ability to travel, cost, and availability.",No,Proportion of households in remote or underserved areas who report having physical access to social protection services services within a reasonable distance. (https://www.notion.so/Proportion-of-households-in-remote-or-underserved-areas-who-report-having-physical-access-to-social--32f60bfb014e803d8b22df253d156aba?pvs=21),,,Yes,,"Communities affected by the project, Marginalised groups",In Development,Not started,Geographic Accessibility (https://www.notion.so/Geographic-Accessibility-32f60bfb014e80a1a091c2acbb67a63f?pvs=21),Access to Social Services (https://www.notion.so/Access-to-Social-Services-31060bfb014e80469b85eeaf2548ed56?pvs=21)
How far is the nearest of each of the following services from your home? (Answer for each: Health facility / School / Social service office) — Less than 30 min / 30–60 min / 1–2 hrs / More than 2 hrs / Don't know,Multiple Choice,"Measures travel time to nearest health facility, school, and social service office. Core geographic accessibility indicator capturing physical proximity to essential services.",No,Proportion of households in remote or underserved areas who report having physical access to social protection services services within a reasonable distance. (https://www.notion.so/Proportion-of-households-in-remote-or-underserved-areas-who-report-having-physical-access-to-social--32f60bfb014e803d8b22df253d156aba?pvs=21),,,Yes,,"Communities affected by the project, Marginalised groups",In Development,Not started,Geographic Accessibility (https://www.notion.so/Geographic-Accessibility-32f60bfb014e80a1a091c2acbb67a63f?pvs=21),Access to Social Services (https://www.notion.so/Access-to-Social-Services-31060bfb014e80469b85eeaf2548ed56?pvs=21)
"What is the physical condition of the public service buildings in your area, such as schools, health clinics, or social service offices?",Scale,Measures perceived physical condition of public service buildings in the area. Captures whether facility infrastructure is safe and functional enough to deliver services effectively.,No,Proportion of underserved population in project-targeted areas with improved access to public transportation following carbon-funded public transport infrastructure investments (https://www.notion.so/Proportion-of-underserved-population-in-project-targeted-areas-with-improved-access-to-public-transp-33460bfb014e80fb99bdf8c9e97676f7?pvs=21),,,Yes,5-Point Likert – Agreement (https://www.notion.so/5-Point-Likert-Agreement-30a60bfb014e80ceb32cc67952cf8938?pvs=21),"Communities affected by the project, Marginalised groups",In Development,Not started,Geographic Accessibility (https://www.notion.so/Geographic-Accessibility-32f60bfb014e80a1a091c2acbb67a63f?pvs=21),Access to Social Services (https://www.notion.so/Access-to-Social-Services-31060bfb014e80469b85eeaf2548ed56?pvs=21)
"How reliable and safe is the transportation available for reaching essential services like schools, health clinics, or social service offices?",Scale,Measures reliability and safety of transport to essential services. Captures quality of transport rather than just availability — critical for communities where transport exists but is unreliable or unsafe.,No,"Proportion of households or individuals with physical access to one or more forms of public transport networks they can use to access or reach different social services such as healthcare services, schools and social protection services. (https://www.notion.so/Proportion-of-households-or-individuals-with-physical-access-to-one-or-more-forms-of-public-transpor-32f60bfb014e806f97b4c752a67188fc?pvs=21)",,,Yes,5-Point Likert – Agreement (https://www.notion.so/5-Point-Likert-Agreement-30a60bfb014e80ceb32cc67952cf8938?pvs=21),"Communities affected by the project, Marginalised groups",In Development,Not started,Geographic Accessibility (https://www.notion.so/Geographic-Accessibility-32f60bfb014e80a1a091c2acbb67a63f?pvs=21),Access to Social Services (https://www.notion.so/Access-to-Social-Services-31060bfb014e80469b85eeaf2548ed56?pvs=21)
"Do you feel that you (or members of your group) are able to access essential services such as healthcare, education, or social protection without discrimination?",Scale,"Measures whether community members feel they can access essential services without discrimination based on gender, disability, ethnicity, age, or social identity. Core inclusive access indicator.",No,Proportion of households or individuals who can name a public or private facility where they can access social protection services  (https://www.notion.so/Proportion-of-households-or-individuals-who-can-name-a-public-or-private-facility-where-they-can-acc-32f60bfb014e807ebdbbf1bdaaf68601?pvs=21),,,Yes,5-Point Likert – Agreement (https://www.notion.so/5-Point-Likert-Agreement-30a60bfb014e80ceb32cc67952cf8938?pvs=21),"Communities affected by the project, Marginalised groups",In Development,Not started,Inclusive Access  (https://www.notion.so/Inclusive-Access-32f60bfb014e806ea069cbb92ab9616e?pvs=21),Access to Social Services (https://www.notion.so/Access-to-Social-Services-31060bfb014e80469b85eeaf2548ed56?pvs=21)
"Are essential services in your area adapted to meet the specific needs of different groups, such as women, persons with disabilities, or ethnic minorities?",Scale,"Measures whether essential services in the area are adapted to meet the specific needs of women, persons with disabilities, or ethnic minorities. Captures inclusive service design rather than just non-discrimination.",No,Proportion of households or individuals who can name a public or private facility where they can access social protection services  (https://www.notion.so/Proportion-of-households-or-individuals-who-can-name-a-public-or-private-facility-where-they-can-acc-32f60bfb014e807ebdbbf1bdaaf68601?pvs=21),,,Yes,5-Point Likert – Agreement (https://www.notion.so/5-Point-Likert-Agreement-30a60bfb014e80ceb32cc67952cf8938?pvs=21),"Communities affected by the project, Marginalised groups",In Development,Not started,Inclusive Access  (https://www.notion.so/Inclusive-Access-32f60bfb014e806ea069cbb92ab9616e?pvs=21),Access to Social Services (https://www.notion.so/Access-to-Social-Services-31060bfb014e80469b85eeaf2548ed56?pvs=21)
"In your experience, which of the following barriers make it harder for some groups in your community to access essential services? (Select all that apply)",Multiple Choice,Diagnostic multi-select capturing which specific barriers prevent access for different groups. Informs programme design and mitigation planning.,No,Proportion of households or individuals who can name a public or private facility where they can access social protection services  (https://www.notion.so/Proportion-of-households-or-individuals-who-can-name-a-public-or-private-facility-where-they-can-acc-32f60bfb014e807ebdbbf1bdaaf68601?pvs=21),,,No,,"Communities affected by the project, Marginalised groups",In Development,Not started,Inclusive Access  (https://www.notion.so/Inclusive-Access-32f60bfb014e806ea069cbb92ab9616e?pvs=21),Access to Social Services (https://www.notion.so/Access-to-Social-Services-31060bfb014e80469b85eeaf2548ed56?pvs=21)
Have you seen any of the following features in local services that support inclusion? (Select all that apply),Multiple Choice,Multi-select audit of specific inclusion features visible in local services. Provides observable evidence of inclusive design beyond self-report.,No,Proportion of households or individuals who can name a public or private facility where they can access social protection services  (https://www.notion.so/Proportion-of-households-or-individuals-who-can-name-a-public-or-private-facility-where-they-can-acc-32f60bfb014e807ebdbbf1bdaaf68601?pvs=21),,,No,,"Communities affected by the project, Marginalised groups",In Development,Not started,Inclusive Access  (https://www.notion.so/Inclusive-Access-32f60bfb014e806ea069cbb92ab9616e?pvs=21),Access to Social Services (https://www.notion.so/Access-to-Social-Services-31060bfb014e80469b85eeaf2548ed56?pvs=21)
Has receiving information through outreach efforts helped you or others in your community use services more easily?,Scale,Measures whether outreach efforts have translated into behaviour change — specifically whether receiving information helped community members use services more easily. Outcome-level outreach indicator.,Yes,Proportion of households or individuals who can name a public or private facility where they can access social protection services  (https://www.notion.so/Proportion-of-households-or-individuals-who-can-name-a-public-or-private-facility-where-they-can-acc-32f60bfb014e807ebdbbf1bdaaf68601?pvs=21),"Have you received information about public services through community outreach efforts, for example radio, posters, local meetings, or peer educators?",,No,5-Point Likert – Agreement (https://www.notion.so/5-Point-Likert-Agreement-30a60bfb014e80ceb32cc67952cf8938?pvs=21),"Communities affected by the project, Marginalised groups",In Development,Not started,Service Awareness & Outreach (https://www.notion.so/Service-Awareness-Outreach-32f60bfb014e801f9b25eb50ac57fe58?pvs=21),Access to Social Services (https://www.notion.so/Access-to-Social-Services-31060bfb014e80469b85eeaf2548ed56?pvs=21)
"Do you know how to access and use the services you are aware of, for example where to go, what documents are needed, or how to apply?",Scale,"Measures practical knowledge of how to access services — where to go, what documents are needed, how to apply. Distinguishes awareness from navigational knowledge.",Yes,Proportion of households or individuals who can name a public or private facility where they can access social protection services  (https://www.notion.so/Proportion-of-households-or-individuals-who-can-name-a-public-or-private-facility-where-they-can-acc-32f60bfb014e807ebdbbf1bdaaf68601?pvs=21),"Are you aware of the healthcare, education, and social protection services currently available in your area?",,No,5-Point Likert – Agreement (https://www.notion.so/5-Point-Likert-Agreement-30a60bfb014e80ceb32cc67952cf8938?pvs=21),"Communities affected by the project, Marginalised groups",In Development,Not started,Service Awareness & Outreach (https://www.notion.so/Service-Awareness-Outreach-32f60bfb014e801f9b25eb50ac57fe58?pvs=21),Access to Social Services (https://www.notion.so/Access-to-Social-Services-31060bfb014e80469b85eeaf2548ed56?pvs=21)
"Have you received information about public services through community outreach efforts, for example radio, posters, local meetings, or peer educators?",Scale,"Measures reach of community outreach efforts. Captures whether community members have received information about public services through outreach channels such as radio, posters, meetings, or peer educators.",No,Proportion of households or individuals who can name a public or private facility where they can access social protection services  (https://www.notion.so/Proportion-of-households-or-individuals-who-can-name-a-public-or-private-facility-where-they-can-acc-32f60bfb014e807ebdbbf1bdaaf68601?pvs=21),,,Yes,5-Point Likert – Agreement (https://www.notion.so/5-Point-Likert-Agreement-30a60bfb014e80ceb32cc67952cf8938?pvs=21),"Communities affected by the project, Marginalised groups",In Development,Not started,Service Awareness & Outreach (https://www.notion.so/Service-Awareness-Outreach-32f60bfb014e801f9b25eb50ac57fe58?pvs=21),Access to Social Services (https://www.notion.so/Access-to-Social-Services-31060bfb014e80469b85eeaf2548ed56?pvs=21)
"Are you aware of the healthcare, education, and social protection services currently available in your area?",Scale,"Measures whether community members are aware of healthcare, education, and social protection services available in their area. Prerequisite for service access — awareness must precede uptake.",No,Proportion of households or individuals who can name a public or private facility where they can access social protection services  (https://www.notion.so/Proportion-of-households-or-individuals-who-can-name-a-public-or-private-facility-where-they-can-acc-32f60bfb014e807ebdbbf1bdaaf68601?pvs=21),,,Yes,5-Point Likert – Agreement (https://www.notion.so/5-Point-Likert-Agreement-30a60bfb014e80ceb32cc67952cf8938?pvs=21),"Communities affected by the project, Marginalised groups",In Development,Not started,Service Awareness & Outreach (https://www.notion.so/Service-Awareness-Outreach-32f60bfb014e801f9b25eb50ac57fe58?pvs=21),Access to Social Services (https://www.notion.so/Access-to-Social-Services-31060bfb014e80469b85eeaf2548ed56?pvs=21)
"Was information about the project's benefits explained to you in a language and format you could understand, and was it shared before the project began?",Scale,"Measures whether information about project benefits was communicated in a clear, accessible, and timely manner. Captures quality of benefit communication, not just awareness.",No,"Proportion of community members (disaggregated by gender, ethnicity, and socio-economic status) who can correctly answer key questions about the benefit sharing mechanism design, eligibility criteria, decision-making process, and range of benefits during a structured survey. (https://www.notion.so/Proportion-of-community-members-disaggregated-by-gender-ethnicity-and-socio-economic-status-who--33060bfb014e80cda842c39303369579?pvs=21)",,,Yes,5-Point Likert – Agreement (https://www.notion.so/5-Point-Likert-Agreement-30a60bfb014e80ceb32cc67952cf8938?pvs=21),"Communities affected by the project, Marginalised groups",In Development,Not started,Clarity about the short-term and long-term benefits of the project (https://www.notion.so/Clarity-about-the-short-term-and-long-term-benefits-of-the-project-33060bfb014e801291ccf8ce51df78bf?pvs=21),Benefit Sharing Mechanism (https://www.notion.so/Benefit-Sharing-Mechanism-31060bfb014e8091bcd9e992141e9138?pvs=21)
Do you have a clear understanding of both the short-term and long-term benefits this project is meant to provide to your community?,Scale,Measures whether community members have clear understanding of both short-term and long-term project benefits. Prerequisite for meaningful participation in benefit-sharing decisions.,No,"Existence of a written  benefit sharing plan outlining roles, responsibilities, and eligibility criteria for beneficiaries. (https://www.notion.so/Existence-of-a-written-benefit-sharing-plan-outlining-roles-responsibilities-and-eligibility-crit-33060bfb014e80d98a1efc1a2c0ee7c9?pvs=21)",,,Yes,,"Communities affected by the project, Marginalised groups",In Development,Not started,Clarity about the short-term and long-term benefits of the project (https://www.notion.so/Clarity-about-the-short-term-and-long-term-benefits-of-the-project-33060bfb014e801291ccf8ce51df78bf?pvs=21),Benefit Sharing Mechanism (https://www.notion.so/Benefit-Sharing-Mechanism-31060bfb014e8091bcd9e992141e9138?pvs=21)
How confident are you that the benefits described for this project will actually be delivered to your community as promised?,Scale,Measures community confidence that the benefits described will actually be delivered. Captures trust in the benefit delivery process as distinct from awareness of benefits.,No,"Existence of a written  benefit sharing plan outlining roles, responsibilities, and eligibility criteria for beneficiaries. (https://www.notion.so/Existence-of-a-written-benefit-sharing-plan-outlining-roles-responsibilities-and-eligibility-crit-33060bfb014e80d98a1efc1a2c0ee7c9?pvs=21)",,,Yes,,"Communities affected by the project, Marginalised groups",In Development,Not started,Clarity about the short-term and long-term benefits of the project (https://www.notion.so/Clarity-about-the-short-term-and-long-term-benefits-of-the-project-33060bfb014e801291ccf8ce51df78bf?pvs=21),Benefit Sharing Mechanism (https://www.notion.so/Benefit-Sharing-Mechanism-31060bfb014e8091bcd9e992141e9138?pvs=21)
"Can you name one benefit you expect from this project in the near future, and one benefit you expect further into the future?",Long Text,Open verification of benefit clarity. Asks the respondent to name specific short-term and long-term benefits they expect from the project. Checks depth of understanding beyond simple awareness.,No,"Proportion of community members (disaggregated by gender, ethnicity, and socio-economic status) who can correctly answer key questions about the benefit sharing mechanism design, eligibility criteria, decision-making process, and range of benefits during a structured survey. (https://www.notion.so/Proportion-of-community-members-disaggregated-by-gender-ethnicity-and-socio-economic-status-who--33060bfb014e80cda842c39303369579?pvs=21)",,,No,,"Communities affected by the project, Marginalised groups",In Development,Not started,Clarity about the short-term and long-term benefits of the project (https://www.notion.so/Clarity-about-the-short-term-and-long-term-benefits-of-the-project-33060bfb014e801291ccf8ce51df78bf?pvs=21),Benefit Sharing Mechanism (https://www.notion.so/Benefit-Sharing-Mechanism-31060bfb014e8091bcd9e992141e9138?pvs=21)
"Are you aware of any specific plans or measures in place to ensure that marginalised groups in your community — such as women, Indigenous Peoples, persons with disabilities, or youth — receive a fair share of project benefits?",Scale,"Measures whether community members are aware of specific plans to ensure marginalised groups — including women, Indigenous Peoples, persons with disabilities, and youth — benefit equitably from the project.",No,"Percentage of marginalized groups (women, youth, ethnic minorities, and persons with disabilities) within the project boundary who report a measurable increase in access to land rights, financial services, and specialized training as a direct result of project interventions. (https://www.notion.so/Percentage-of-marginalized-groups-women-youth-ethnic-minorities-and-persons-with-disabilities-w-32f60bfb014e8034b870ea6976f50367?pvs=21)",,,Yes,,"Communities affected by the project, Marginalised groups",In Development,Not started,Plans in place to ensure that marginalized groups benefit (https://www.notion.so/Plans-in-place-to-ensure-that-marginalized-groups-benefit-33060bfb014e8050b553eb80646eb378?pvs=21),Benefit Sharing Mechanism (https://www.notion.so/Benefit-Sharing-Mechanism-31060bfb014e8091bcd9e992141e9138?pvs=21)
"Were marginalised groups in your community involved in designing how project benefits would be shared, not just as recipients but in deciding how the process would work?",Scale,"Measures whether marginalised groups were meaningfully involved in designing the benefit-sharing mechanism, not just as recipients but as decision-makers.",No,"Percentage of project-related governance bodies (e.g., Conservation Committees, Benefit-Sharing Boards) within the project boundary that include designated seats for Indigenous elders or recognized traditional knowledge holders. (https://www.notion.so/Percentage-of-project-related-governance-bodies-e-g-Conservation-Committees-Benefit-Sharing-Boar-32f60bfb014e805eb65ae55a1d9f08c4?pvs=21)",,,Yes,5-Point Likert – Agreement (https://www.notion.so/5-Point-Likert-Agreement-30a60bfb014e80ceb32cc67952cf8938?pvs=21),"Communities affected by the project, Marginalised groups",In Development,Not started,Plans in place to ensure that marginalized groups benefit (https://www.notion.so/Plans-in-place-to-ensure-that-marginalized-groups-benefit-33060bfb014e8050b553eb80646eb378?pvs=21),Benefit Sharing Mechanism (https://www.notion.so/Benefit-Sharing-Mechanism-31060bfb014e8091bcd9e992141e9138?pvs=21)
"In practice, do you believe that marginalised groups in your community are receiving an equal and fair share of project benefits?",Scale,"Measures whether marginalised groups are in practice receiving equitable access to project benefits. Captures experienced equity of distribution, not just policy intention.",No,"Percentage of marginalized groups (women, youth, ethnic minorities, and persons with disabilities) within the project boundary who report a measurable increase in access to land rights, financial services, and specialized training as a direct result of project interventions. (https://www.notion.so/Percentage-of-marginalized-groups-women-youth-ethnic-minorities-and-persons-with-disabilities-w-32f60bfb014e8034b870ea6976f50367?pvs=21)",,,Yes,5-Point Likert – Agreement (https://www.notion.so/5-Point-Likert-Agreement-30a60bfb014e80ceb32cc67952cf8938?pvs=21),"Communities affected by the project, Marginalised groups",In Development,Not started,Plans in place to ensure that marginalized groups benefit (https://www.notion.so/Plans-in-place-to-ensure-that-marginalized-groups-benefit-33060bfb014e8050b553eb80646eb378?pvs=21),Benefit Sharing Mechanism (https://www.notion.so/Benefit-Sharing-Mechanism-31060bfb014e8091bcd9e992141e9138?pvs=21)
"Which specific groups do you feel are being well included in project benefits, and which groups, if any, are being left out or receiving less?",Long Text,Follow-up identifying which marginalised groups are or are not benefiting. Shown regardless of preceding response to capture qualitative detail.,No,"Percentage of marginalized groups (women, youth, ethnic minorities, and persons with disabilities) within the project boundary who report a measurable increase in access to land rights, financial services, and specialized training as a direct result of project interventions. (https://www.notion.so/Percentage-of-marginalized-groups-women-youth-ethnic-minorities-and-persons-with-disabilities-w-32f60bfb014e8034b870ea6976f50367?pvs=21)",,,No,,"Communities affected by the project, Marginalised groups",In Development,Not started,Plans in place to ensure that marginalized groups benefit (https://www.notion.so/Plans-in-place-to-ensure-that-marginalized-groups-benefit-33060bfb014e8050b553eb80646eb378?pvs=21),Benefit Sharing Mechanism (https://www.notion.so/Benefit-Sharing-Mechanism-31060bfb014e8091bcd9e992141e9138?pvs=21)
"Do you believe that certain people, families, or groups in your community receive more project benefits than others due to favouritism or their connections to those in power?",Scale,Measures perceived favouritism in benefit distribution. Distinct from general fairness — specifically tests whether powerful individuals or groups are manipulating access to benefits.,No,Perceived favouritism in benefit distribution (https://www.notion.so/Perceived-favouritism-in-benefit-distribution-31e60bfb014e8015800ce81a3eae8c95?pvs=21),,,Yes,5-Point Likert – Agreement (https://www.notion.so/5-Point-Likert-Agreement-30a60bfb014e80ceb32cc67952cf8938?pvs=21),"Communities affected by the project, Marginalised groups",In Development,Not started,Potential negative unintended consequences considered & mitigated (https://www.notion.so/Potential-negative-unintended-consequences-considered-mitigated-33060bfb014e80ee9e5ec86b2bd2cf98?pvs=21),Benefit Sharing Mechanism (https://www.notion.so/Benefit-Sharing-Mechanism-31060bfb014e8091bcd9e992141e9138?pvs=21)
What kinds of problems have you noticed? (Select all that apply),Multiple Choice,Follow-up multi-select capturing the specific type of negative consequence observed. Provides structured data for risk tracking. Shown if preceding question indicates problems.,Yes,Percentage of identified benefit sharing related social risks with mitigation actions implemented (https://www.notion.so/Percentage-of-identified-benefit-sharing-related-social-risks-with-mitigation-actions-implemented-33060bfb014e80ef9a1bfa6bc46e5d29?pvs=21),Have you noticed any problems or negative effects in your community caused by how project benefits are being shared?,,No,,"Communities affected by the project, Marginalised groups",In Development,Not started,Potential negative unintended consequences considered & mitigated (https://www.notion.so/Potential-negative-unintended-consequences-considered-mitigated-33060bfb014e80ee9e5ec86b2bd2cf98?pvs=21),Benefit Sharing Mechanism (https://www.notion.so/Benefit-Sharing-Mechanism-31060bfb014e8091bcd9e992141e9138?pvs=21)
Are you aware of any steps taken by the project to prevent or address potential negative effects or unfairness in how benefits are distributed?,Scale,"Measures whether community members are aware of steps taken to prevent or address the negative effects of benefit-sharing. Captures community-facing evidence of risk mitigation, not just documentation.",No,Existence of a documented risk register for the benefit sharing mechanism (https://www.notion.so/Existence-of-a-documented-risk-register-for-the-benefit-sharing-mechanism-33060bfb014e805cbba2dd03035e15b5?pvs=21),,,Yes,5-Point Likert – Agreement (https://www.notion.so/5-Point-Likert-Agreement-30a60bfb014e80ceb32cc67952cf8938?pvs=21),"Communities affected by the project, Marginalised groups",In Development,Not started,Potential negative unintended consequences considered & mitigated (https://www.notion.so/Potential-negative-unintended-consequences-considered-mitigated-33060bfb014e80ee9e5ec86b2bd2cf98?pvs=21),Benefit Sharing Mechanism (https://www.notion.so/Benefit-Sharing-Mechanism-31060bfb014e8091bcd9e992141e9138?pvs=21)
Have you noticed any problems or negative effects in your community caused by how project benefits are being shared?,Scale,"Screener for negative unintended consequences from benefit-sharing. Captures whether the distribution process has caused harm, exclusion, or conflict. Core risk monitoring indicator.",No,Percentage of identified benefit sharing related social risks with mitigation actions implemented (https://www.notion.so/Percentage-of-identified-benefit-sharing-related-social-risks-with-mitigation-actions-implemented-33060bfb014e80ef9a1bfa6bc46e5d29?pvs=21),,,Yes,5-Point Likert – Agreement (https://www.notion.so/5-Point-Likert-Agreement-30a60bfb014e80ceb32cc67952cf8938?pvs=21),"Communities affected by the project, Marginalised groups",In Development,Not started,Potential negative unintended consequences considered & mitigated (https://www.notion.so/Potential-negative-unintended-consequences-considered-mitigated-33060bfb014e80ee9e5ec86b2bd2cf98?pvs=21),Benefit Sharing Mechanism (https://www.notion.so/Benefit-Sharing-Mechanism-31060bfb014e8091bcd9e992141e9138?pvs=21)
"How would you describe the process used to design the benefit-sharing mechanism — was it transparent, fair, and did it respect the community’s input?",Scale,Measures perceived fairness and transparency of the benefit-sharing design process itself. Distinct from the fairness of the resulting distribution.,No,"Proportion of community members (disaggregated by gender, ethnicity, and socio-economic status) who can correctly answer key questions about the benefit sharing mechanism design, eligibility criteria, decision-making process, and range of benefits during a structured survey. (https://www.notion.so/Proportion-of-community-members-disaggregated-by-gender-ethnicity-and-socio-economic-status-who--33060bfb014e80cda842c39303369579?pvs=21)",,,Yes,,"Communities affected by the project, Marginalised groups",In Development,Not started,Participatory Benefit-Sharing Design (https://www.notion.so/Participatory-Benefit-Sharing-Design-33060bfb014e803b8fb0e0593c6612b4?pvs=21),Benefit Sharing Mechanism (https://www.notion.so/Benefit-Sharing-Mechanism-31060bfb014e8091bcd9e992141e9138?pvs=21)
"If you or anyone in your community raised a concern or complaint about the benefit-sharing process, was it taken seriously and resolved fairly?",Scale,Measures whether benefit-sharing related grievances are being resolved. Captures community-facing experience of grievance resolution under the benefit-sharing mechanism specifically.,No,Percentage of benefit sharing related grievances resolved within the reporting period (https://www.notion.so/Percentage-of-benefit-sharing-related-grievances-resolved-within-the-reporting-period-33060bfb014e8061bcd0d349c3ba1b92?pvs=21),,,Yes,5-Point Likert – Agreement (https://www.notion.so/5-Point-Likert-Agreement-30a60bfb014e80ceb32cc67952cf8938?pvs=21),"Communities affected by the project, Marginalised groups",In Development,Not started,Participatory Benefit-Sharing Design (https://www.notion.so/Participatory-Benefit-Sharing-Design-33060bfb014e803b8fb0e0593c6612b4?pvs=21),Benefit Sharing Mechanism (https://www.notion.so/Benefit-Sharing-Mechanism-31060bfb014e8091bcd9e992141e9138?pvs=21)
"Was your community actively involved in designing how project benefits would be shared — for example, deciding who is eligible, how much each group receives, and how payments are made?",Scale,Measures whether the benefit-sharing mechanism was co-designed with the community in a participatory process. Core participatory design quality indicator.,No,"Existence of a written  benefit sharing plan outlining roles, responsibilities, and eligibility criteria for beneficiaries. (https://www.notion.so/Existence-of-a-written-benefit-sharing-plan-outlining-roles-responsibilities-and-eligibility-crit-33060bfb014e80d98a1efc1a2c0ee7c9?pvs=21)",,,Yes,,"Communities affected by the project, Marginalised groups",In Development,Not started,Participatory Benefit-Sharing Design (https://www.notion.so/Participatory-Benefit-Sharing-Design-33060bfb014e803b8fb0e0593c6612b4?pvs=21),Benefit Sharing Mechanism (https://www.notion.so/Benefit-Sharing-Mechanism-31060bfb014e8091bcd9e992141e9138?pvs=21)
"Do you know whether your community has the right to withdraw or renegotiate the benefit-sharing arrangement during the project, and do you know how to do so?",Scale,"Measures whether community members know they have the right to withdraw or renegotiate consent during implementation, and understand the process for doing so. Captures ongoing FPIC within the benefit-sharing process.",No,Proportion of IPLC members who can correctly identify the project's grievance mechanism and demonstrate an understanding of the formal process to withdraw or renegotiate consent during the implementation phase. (https://www.notion.so/Proportion-of-IPLC-members-who-can-correctly-identify-the-project-s-grievance-mechanism-and-demonstr-32f60bfb014e809e98b5f15cea837962?pvs=21),,,Yes,,"Communities affected by the project, Marginalised groups",In Development,Not started,Participatory Benefit-Sharing Design (https://www.notion.so/Participatory-Benefit-Sharing-Design-33060bfb014e803b8fb0e0593c6612b4?pvs=21),Benefit Sharing Mechanism (https://www.notion.so/Benefit-Sharing-Mechanism-31060bfb014e8091bcd9e992141e9138?pvs=21)
"In the past year, have you participated in any financial literacy training, savings programme, or financial management initiative supported by the project or a partner organisation?",Scale,"Measures participation in financial literacy training, savings programmes, or financial management initiatives. Captures capacity-building for financial inclusion.",No,"Proportion of project beneficiaries (disaggregated by gender, age, income level, and livelihood type) who have participated in financial literacy training, savings programs, or financial management initiatives provided or facilitated by the project/programme. (https://www.notion.so/Proportion-of-project-beneficiaries-disaggregated-by-gender-age-income-level-and-livelihood-type-33360bfb014e80628c2ae44047fc74ce?pvs=21)",,,Yes,Yes / No (https://www.notion.so/Yes-No-30a60bfb014e804abef7c04bf746870a?pvs=21),"Communities affected by the project, Marginalised groups",In Development,Not started,Access to Financial Services & Asset Building (https://www.notion.so/Access-to-Financial-Services-Asset-Building-33060bfb014e80f59bd2c8214623525d?pvs=21),Economic Empowerment & Resilient Livelihoods (https://www.notion.so/Economic-Empowerment-Resilient-Livelihoods-31060bfb014e80e0a0a9ed6e5a2bfe92?pvs=21)
"What did you participate in, and has it helped you manage your finances or access services differently?",Long Text,Follow-up for financial literacy training participation. Captures what was learned and whether it has been applied. Shown if preceding question = Yes.,Yes,"Proportion of project beneficiaries (disaggregated by gender, age, income level, and livelihood type) who have participated in financial literacy training, savings programs, or financial management initiatives provided or facilitated by the project/programme. (https://www.notion.so/Proportion-of-project-beneficiaries-disaggregated-by-gender-age-income-level-and-livelihood-type-33360bfb014e80628c2ae44047fc74ce?pvs=21)","In the past year, have you participated in any financial literacy training, savings programme, or financial management initiative supported by the project or a partner organisation?",,No,,"Communities affected by the project, Marginalised groups",In Development,Not started,Access to Financial Services & Asset Building (https://www.notion.so/Access-to-Financial-Services-Asset-Building-33060bfb014e80f59bd2c8214623525d?pvs=21),Economic Empowerment & Resilient Livelihoods (https://www.notion.so/Economic-Empowerment-Resilient-Livelihoods-31060bfb014e80e0a0a9ed6e5a2bfe92?pvs=21)
"Do you currently have access to and actively use any financial services such as a bank account, mobile money, savings group, microfinance, or credit facility?",Scale,Measures access to and active use of formal and informal financial services. Core financial inclusion indicator.,No,"Proportion of individuals and households (disaggregated by gender, age, income level, and livelihood type) with access to and active use of formal and informal financial services, and demonstrating progress in asset accumulation. (https://www.notion.so/Proportion-of-individuals-and-households-disaggregated-by-gender-age-income-level-and-livelihood-33360bfb014e8049a54dc9e44456cdce?pvs=21)",,,Yes,5-Point Likert – Agreement (https://www.notion.so/5-Point-Likert-Agreement-30a60bfb014e80ceb32cc67952cf8938?pvs=21),"Communities affected by the project, Marginalised groups",In Development,Not started,Access to Financial Services & Asset Building (https://www.notion.so/Access-to-Financial-Services-Asset-Building-33060bfb014e80f59bd2c8214623525d?pvs=21),Economic Empowerment & Resilient Livelihoods (https://www.notion.so/Economic-Empowerment-Resilient-Livelihoods-31060bfb014e80e0a0a9ed6e5a2bfe92?pvs=21)
Which of the following financial services do you currently have access to? (Select all that apply),Multiple Choice,Multi-select capturing which specific financial services are accessed. Provides disaggregated data on financial inclusion type and depth.,Yes,"Proportion of individuals and households (disaggregated by gender, age, income level, and livelihood type) with access to and active use of formal and informal financial services, and demonstrating progress in asset accumulation. (https://www.notion.so/Proportion-of-individuals-and-households-disaggregated-by-gender-age-income-level-and-livelihood-33360bfb014e8049a54dc9e44456cdce?pvs=21)","Do you currently have access to and actively use any financial services such as a bank account, mobile money, savings group, microfinance, or credit facility?",,No,,"Communities affected by the project, Marginalised groups",In Development,Not started,Access to Financial Services & Asset Building (https://www.notion.so/Access-to-Financial-Services-Asset-Building-33060bfb014e80f59bd2c8214623525d?pvs=21),Economic Empowerment & Resilient Livelihoods (https://www.notion.so/Economic-Empowerment-Resilient-Livelihoods-31060bfb014e80e0a0a9ed6e5a2bfe92?pvs=21)
