Indicator statement,Indicator descriptor,Sub-themes,Theme,Development Status,Indicator Type,Level of Analysis,ToC stage,Indicator sources,Developed By,Date Started,Date Completed,Status
"Average number of school-organised events or meetings attended by caregivers per school term, at the time of survey","Measures the mean frequency of caregiver attendance at school-organised events or meetings per term, used as a proxy for sustained caregiver participation in the school community beyond minimum threshold presence.",Caregiver Participation in School Activities (https://www.notion.so/Caregiver-Participation-in-School-Activities-33e60bfb014e810d82f8c0c1ea6b2f76?pvs=21),Caregiver engagement in Learning,Draft,Quantitative,Individual,2: Outcome,,Belinda Mziray,,,Not Published
Proportion of caregivers who attended at least one school-organised event or meeting in the school term prior to the survey,"Measures the share of caregivers who report physical attendance at a school-organised event or meeting, used as a minimum threshold indicator of caregiver presence in the school community.",Caregiver Participation in School Activities (https://www.notion.so/Caregiver-Participation-in-School-Activities-33e60bfb014e810d82f8c0c1ea6b2f76?pvs=21),Caregiver engagement in Learning,Draft,Quantitative,Individual,2: Outcome,,Belinda Mziray,,,Not Published
"Proportion of caregivers who report feeling welcomed and respected when engaging with school staff, at the time of survey","Measures the share of caregivers who report a positive experience of reception and respect when interacting with school staff, used as a proxy for the relational quality of the school environment as experienced by caregivers.",Caregiver Participation in School Activities (https://www.notion.so/Caregiver-Participation-in-School-Activities-33e60bfb014e810d82f8c0c1ea6b2f76?pvs=21),Caregiver engagement in Learning,Draft,Scale-Based,Individual,2: Outcome,,Belinda Mziray,,,Not Published
Proportion of caregivers who report volunteering time or skills at the school at least once in the school term prior to the survey,"Measures the share of caregivers who report contributing voluntary time or skills to school activities beyond mandatory attendance, used as a proxy for active and self-initiated caregiver participation in the school community.",Caregiver Participation in School Activities (https://www.notion.so/Caregiver-Participation-in-School-Activities-33e60bfb014e810d82f8c0c1ea6b2f76?pvs=21),Caregiver engagement in Learning,Draft,Quantitative,Individual,2: Outcome,,Belinda Mziray,,,Not Published
Proportion of caregivers who report sitting with their child during homework or study at least three times per week in the school term prior to the survey,"Measures the share of caregivers who report regularly sitting with and supporting their child during homework or study sessions, used as a behavioural proxy for active home-based learning support.",Caregiver Support for Learning at Home (https://www.notion.so/Caregiver-Support-for-Learning-at-Home-33e60bfb014e814aabb4df57c5750cbf?pvs=21),Caregiver engagement in Learning,Draft,Quantitative,Individual,2: Outcome,,Belinda Mziray,,,Not Published
"Proportion of caregivers who report reading aloud to or with their child, including oral storytelling, at least once per week in the school term prior to the survey","Measures the share of caregivers who report reading aloud to or with their child at least once per week, including oral storytelling and informal reading materials, used as a proxy for caregiver oral literacy engagement in the home learning environment.",Caregiver Support for Learning at Home (https://www.notion.so/Caregiver-Support-for-Learning-at-Home-33e60bfb014e814aabb4df57c5750cbf?pvs=21),Caregiver engagement in Learning,Draft,Quantitative,Individual,2: Outcome,,Belinda Mziray,,,Not Published
Proportion of caregivers who report both monitoring their child's daily school attendance and following up on absences in the school term prior to the survey,"Measures the share of caregivers who report both monitoring their child's daily school attendance and following up when their child is absent, used as a proxy for active caregiver responsibility for school attendance as a home-based support behaviour.",Caregiver Support for Learning at Home (https://www.notion.so/Caregiver-Support-for-Learning-at-Home-33e60bfb014e814aabb4df57c5750cbf?pvs=21),Caregiver engagement in Learning,Draft,Quantitative,Individual,2: Outcome,,Belinda Mziray,,,Not Published
"Proportion of caregivers who report their child has access to a designated, adequately lit, and reasonably quiet space for homework or study at home, at the time of survey","Measures the share of caregivers who report that their child has access to a dedicated, adequately lit, and reasonably quiet space for study at home, used as a structural proxy for the physical conditions of the home learning environment.",Caregiver Support for Learning at Home (https://www.notion.so/Caregiver-Support-for-Learning-at-Home-33e60bfb014e814aabb4df57c5750cbf?pvs=21),Caregiver engagement in Learning,Draft,Binary,Household,2: Outcome,,Belinda Mziray,,,Not Published
"Proportion of caregivers who report a strong belief in the value of education for their child's future, measured on a validated scale at the time of survey","Measures the share of caregivers who report a strong positive belief in the value of education for their child's future, used as a proxy for the attitudinal foundation underlying sustained caregiver engagement with learning.",Caregiver Attitudes and Beliefs about Education (https://www.notion.so/Caregiver-Attitudes-and-Beliefs-about-Education-33e60bfb014e818db731ea80713f3b27?pvs=21),Caregiver engagement in Learning,Draft,Scale-Based,Individual,2: Outcome,,Belinda Mziray,,,Not Published
"Proportion of caregivers who report aspirations of secondary completion or above as the highest level of education they hope their child will achieve, at the time of survey","Measures the share of caregivers who aspire to secondary completion or above as the highest level of education they hope their child will achieve, used as a proxy for caregiver educational aspirations and their role as a motivator of learner persistence.",Caregiver Attitudes and Beliefs about Education (https://www.notion.so/Caregiver-Attitudes-and-Beliefs-about-Education-33e60bfb014e818db731ea80713f3b27?pvs=21),Caregiver engagement in Learning,Draft,Quantitative,Individual,2: Outcome,,Belinda Mziray,,,Not Published
"Proportion of caregivers who report a strong belief in their personal role as an active contributor to their child's learning, measured on a validated scale at the time of survey","Measures the share of caregivers who report a strong belief in their own active role as a contributor to their child's learning, used as a proxy for caregiver role construction and its function as a mediator between attitudes and engagement behaviours.",Caregiver Attitudes and Beliefs about Education (https://www.notion.so/Caregiver-Attitudes-and-Beliefs-about-Education-33e60bfb014e818db731ea80713f3b27?pvs=21),Caregiver engagement in Learning,Draft,Scale-Based,Individual,2: Outcome,,Belinda Mziray,,,Not Published
"Proportion of caregivers who report high confidence in their ability to support their child with schoolwork across defined learning support tasks, measured on a validated scale at the time of survey","Measures the share of caregivers who report high confidence in their ability to support their child with schoolwork across defined learning support tasks, used as a proxy for caregiver self-efficacy as a predictor of home-based engagement behaviour.",Caregiver Confidence and Capacity to Engage (https://www.notion.so/Caregiver-Confidence-and-Capacity-to-Engage-33e60bfb014e81af98f9cdae9bb69228?pvs=21),Caregiver engagement in Learning,Draft,Scale-Based,Individual,2: Outcome,,Belinda Mziray,,,Not Published
"Proportion of caregivers who report high confidence in approaching school staff, asking questions about their child's progress, and raising concerns, measured on a validated scale at the time of survey","Measures the share of caregivers who report high confidence in their ability to approach school staff, ask questions about their child's progress, and raise concerns, used as a proxy for caregiver communicative confidence as a precondition for school-based engagement.",Caregiver Confidence and Capacity to Engage (https://www.notion.so/Caregiver-Confidence-and-Capacity-to-Engage-33e60bfb014e81af98f9cdae9bb69228?pvs=21),Caregiver engagement in Learning,Draft,Scale-Based,Individual,2: Outcome,,Belinda Mziray,,,Not Published
"Proportion of caregivers who report functional literacy and numeracy capacity sufficient to support their child's learning at home, assessed through self-report and an optional functional task at the time of survey","Measures the share of caregivers who self-assess as able to read school communications, understand a report card, and support basic reading or numeracy tasks at home, used as a proxy for functional literacy and numeracy capacity as a structural condition for home-based learning support.",Caregiver Confidence and Capacity to Engage (https://www.notion.so/Caregiver-Confidence-and-Capacity-to-Engage-33e60bfb014e81af98f9cdae9bb69228?pvs=21),Caregiver engagement in Learning,Draft,Composite Index,Individual,2: Outcome,,Belinda Mziray,,,Not Published
"Proportion of caregivers who report cultural norms or gender-based expectations as preventing or limiting their engagement with school, at the time of survey","Measures the share of caregivers who report cultural norms, gender roles, or social expectations as preventing or limiting their engagement with school, used as a diagnostic equity indicator for identifying norm-based barriers to caregiver participation.",Barriers to Caregiver Engagement (https://www.notion.so/Barriers-to-Caregiver-Engagement-33e60bfb014e81aeaf29f4c81714bb56?pvs=21),Caregiver engagement in Learning,Draft,Qualitative,Individual,2: Outcome,,Belinda Mziray,,,Not Published
"Proportion of caregivers who report language or communication barriers preventing or limiting their ability to engage with school communications, meetings, or homework support, at the time of survey","Measures the share of caregivers who report language or communication barriers as preventing or limiting their ability to understand school communications, participate in school meetings, or support homework, used as a diagnostic equity indicator in multilingual programme contexts.",Barriers to Caregiver Engagement (https://www.notion.so/Barriers-to-Caregiver-Engagement-33e60bfb014e81aeaf29f4c81714bb56?pvs=21),Caregiver engagement in Learning,Draft,Quantitative,Individual,2: Outcome,,Belinda Mziray,,,Not Published
"Proportion of caregivers who report at least one structural or logistical barrier preventing or significantly limiting their engagement with school, at the time of survey","Measures the share of caregivers who report at least one structural or logistical barrier, such as work schedule, distance, or transport cost, as preventing or significantly limiting their engagement with their child's school, used as a diagnostic indicator for contextualising low engagement rates.",Barriers to Caregiver Engagement (https://www.notion.so/Barriers-to-Caregiver-Engagement-33e60bfb014e81aeaf29f4c81714bb56?pvs=21),Caregiver engagement in Learning,Draft,Quantitative,Individual,2: Outcome,,Belinda Mziray,,,Not Published
"Proportion of caregivers who report applying at least one programme-learned strategy or approach at home with their child since their last programme session, at the time of survey","Measures the share of caregivers who report trying at least one specific strategy or approach learned in a programme session at home with their child since the last session attended, used as a behaviour transfer indicator linking adult learning participation to home practice.",Adult learning and peer support (https://www.notion.so/Adult-learning-and-peer-support-31260bfb014e8054803bc6148977dcbe?pvs=21),Caregiver  Learning & Empowerment,Draft,Quantitative,Individual,2: Outcome,,Belinda Mziray,,,Not Published
"Proportion of caregivers who attended at least one structured facilitated group learning session in the programme reference period, verified through attendance records and caregiver self-report at the time of survey","Measures the share of caregivers who attended at least one structured facilitated group learning session in the programme reference period, used as a process-level indicator of adult learning participation and a precondition for downstream empowerment outcomes.",Adult learning and peer support (https://www.notion.so/Adult-learning-and-peer-support-31260bfb014e8054803bc6148977dcbe?pvs=21),Caregiver  Learning & Empowerment,Draft,Quantitative,Individual,2: Outcome,,Belinda Mziray,,,Not Published
Proportion of caregivers who report seeking or providing topic-specific peer support related to their child's learning or wellbeing in the three months prior to the survey,"Measures the share of caregivers who report seeking or providing topic-specific peer support related to their child's learning or wellbeing in the three months prior to the survey, used as a proxy for active participation in caregiver peer support networks.",Adult learning and peer support (https://www.notion.so/Adult-learning-and-peer-support-31260bfb014e8054803bc6148977dcbe?pvs=21),Caregiver  Learning & Empowerment,Draft,Quantitative,Individual,2: Outcome,,Belinda Mziray,,,Not Published
Proportion of caregivers who demonstrate at least a 20 percent improvement in knowledge across programme-defined child development and learning support domains between baseline and the time of survey,"Measures the share of caregivers who demonstrate a defined improvement in knowledge across programme-defined child development and learning support domains between baseline and the time of survey, used as a learning outcome indicator for adult education participation.",Adult learning and peer support (https://www.notion.so/Adult-learning-and-peer-support-31260bfb014e8054803bc6148977dcbe?pvs=21),Caregiver  Learning & Empowerment,Draft,Composite Index,Individual,2: Outcome,,Belinda Mziray,,,Not Published
"Proportion of caregivers who report a strong sense of peer belonging and mutual support within their programme group, measured on a validated scale at the time of survey","Measures the share of caregivers who report a strong sense of belonging, mutual understanding, and perceived peer support within their programme group, used as a proxy for group cohesion as a predictor of sustained adult learning participation and individual empowerment outcomes.",Adult learning and peer support (https://www.notion.so/Adult-learning-and-peer-support-31260bfb014e8054803bc6148977dcbe?pvs=21),Caregiver  Learning & Empowerment,Draft,Scale-Based,Individual,2: Outcome,,Belinda Mziray,,,Not Published
Proportion of caregivers who attended at least three peer support gatherings in the six months prior to the survey,"Measures the share of caregivers who attended at least three peer support gatherings in the six months prior to the survey, used as a proxy for sustained participation in caregiver peer networks as distinct from structured curriculum-based learning.",Adult learning and peer support (https://www.notion.so/Adult-learning-and-peer-support-31260bfb014e8054803bc6148977dcbe?pvs=21),Caregiver  Learning & Empowerment,Draft,Quantitative,Individual,1: Process,,,,,Not Published
"Proportion of caregivers who report a strong sense of personal agency in influencing decisions about their child's education, measured on a validated scale at the time of survey","Measures the share of caregivers who report a strong sense of personal agency in influencing decisions about their child's education, used as a proxy for caregiver empowerment as a rights-bearing and relational construct distinct from task-specific confidence.",Caregiver Empowerment and Agency (https://www.notion.so/Caregiver-Empowerment-and-Agency-33e60bfb014e81e88af3d4d225367df1?pvs=21),Caregiver  Learning & Empowerment,Draft,Scale-Based,Individual,2: Outcome,,,,,Not Published
"Proportion of caregivers who report a strong sense of collective empowerment and shared capacity to influence their school or community environment through programme participation, measured on a validated scale at the time of survey","Measures the share of caregivers who report a strong sense of collective efficacy and shared capacity to influence their school or community environment through programme participation, used as a proxy for collective empowerment as a group-level outcome distinct from individual agency.",Caregiver Empowerment and Agency (https://www.notion.so/Caregiver-Empowerment-and-Agency-33e60bfb014e81e88af3d4d225367df1?pvs=21),Caregiver  Learning & Empowerment,Draft,Scale-Based,Community,2: Outcome,,,,,Not Published
"Proportion of caregivers who report meaningful input into at least three of four defined household decisions affecting their child's educational participation, at the time of survey","Measures the share of caregivers who report meaningful input into at least three of four defined household decisions affecting their child's educational participation, used as a proxy for caregiver household decision-making power as a determinant of consistent learning participation.",Caregiver Empowerment and Agency (https://www.notion.so/Caregiver-Empowerment-and-Agency-33e60bfb014e81e88af3d4d225367df1?pvs=21),Caregiver  Learning & Empowerment,Draft,Scale-Based,Household,2: Outcome,,,,,Not Published
"Proportion of caregivers who report completing all three steps of advocacy, identifying a concern, communicating it formally, and following up, in the six months prior to the survey","Measures the share of caregivers who report identifying a learning or wellbeing concern, communicating it formally to a teacher or school authority, and following up on the response, in the six months prior to the survey, used as a proxy for caregiver advocacy capacity as a higher-order empowerment outcome.",Caregiver Empowerment and Agency (https://www.notion.so/Caregiver-Empowerment-and-Agency-33e60bfb014e81e88af3d4d225367df1?pvs=21),Caregiver  Learning & Empowerment,Draft,Quantitative,Individual,2: Outcome,,,,,Not Published
"Proportion of caregivers who report having at least one reliable source of both practical and emotional support when facing caregiving or household challenges, at the time of survey","Measures the share of caregivers who report having at least one reliable source of both practical and emotional support when facing caregiving or household challenges, used as a proxy for social support availability as a structural wellbeing resource and buffer against caregiver stress and burnout.",Caregiver Wellbeing and Resilience (https://www.notion.so/Caregiver-Wellbeing-and-Resilience-33e60bfb014e818589a2fd6a327e0876?pvs=21),Caregiver  Learning & Empowerment,Draft,Binary,Individual,2: Outcome,,,,,Not Published
"Proportion of caregivers who score at or above the adequacy threshold on a validated brief hope scale covering agency and pathway thinking, at the time of survey","Measures the share of caregivers who score at or above a defined adequacy threshold on a validated brief hope scale covering agency and pathway thinking, used as a proxy for caregiver hope orientation as a motivational wellbeing construct and predictor of sustained engagement and educational aspiration.",Caregiver Wellbeing and Resilience (https://www.notion.so/Caregiver-Wellbeing-and-Resilience-33e60bfb014e818589a2fd6a327e0876?pvs=21),Caregiver  Learning & Empowerment,Draft,Scale-Based,Individual,2: Outcome,,,,,Not Published
"Proportion of caregivers who score above the high-stress threshold on a validated brief perceived stress screening tool, at the time of survey","Measures the share of caregivers who score above a defined threshold on a validated brief perceived stress screening tool, used as a diagnostic upstream indicator of caregiving quality and a contextual baseline for interpreting all other caregiver engagement indicators.",Caregiver Wellbeing and Resilience (https://www.notion.so/Caregiver-Wellbeing-and-Resilience-33e60bfb014e818589a2fd6a327e0876?pvs=21),Caregiver  Learning & Empowerment,Draft,Scale-Based,Individual,2: Outcome,,,,,Not Published
"Proportion of caregivers who score at or above the adequacy threshold on a validated brief resilience scale, at the time of survey","Measures the share of caregivers who score at or above a defined adequacy threshold on a validated brief resilience scale, used as a proxy for caregiver capacity to maintain consistent caregiving quality under conditions of adversity and household vulnerability.",Caregiver Wellbeing and Resilience (https://www.notion.so/Caregiver-Wellbeing-and-Resilience-33e60bfb014e818589a2fd6a327e0876?pvs=21),Caregiver  Learning & Empowerment,Draft,Scale-Based,Individual,2: Outcome,,,,,Not Published
Proportion of community members who report being offered at least one structured opportunity to contribute input to programme design or review in the 12 months prior to the survey,"Measures the share of community members who report being offered at least one structured opportunity to contribute input to programme design or review in the 12 months prior to the survey, used as a coverage indicator of participation access across the community.",Community Engagement & Accountability (https://www.notion.so/Community-Engagement-Accountability-31260bfb014e8035add1e523f770dc15?pvs=21),Community  & Partnership Engagement,Draft,Quantitative,Community,2: Outcome,,,,,Not Published
"Proportion of community members who participated in a programme consultation or review and report a meaningful participation experience, measured on a validated scale at the time of survey","Measures the share of community members who participated in a programme consultation or review and report that their input was genuinely heard, taken seriously, and considered in programme decisions, used as a proxy for the perceived quality and accountability of community participation.",Community Engagement & Accountability (https://www.notion.so/Community-Engagement-Accountability-31260bfb014e8035add1e523f770dc15?pvs=21),Community  & Partnership Engagement,Draft,Scale-Based,Community,2: Outcome,,,,,Not Published
"Proportion of closed community feedback cases where the originating community member confirms satisfactory resolution, in the reporting period","Measures the proportion of administratively closed community feedback cases where the originating community member confirms that their concern was resolved to their satisfaction, used as a community-verified resolution quality indicator for the programme feedback and accountability mechanism.",Community Engagement & Accountability (https://www.notion.so/Community-Engagement-Accountability-31260bfb014e8035add1e523f770dc15?pvs=21),Community  & Partnership Engagement,Draft,Quantitative,Organisation,2: Outcome,,,,,Not Published
"Proportion of programme partnerships that meet all three qualifying criteria, a signed agreement, documented roles and responsibilities, and an evidenced active review arrangement, at the time of survey","Measures the share of programme partnerships that meet all three qualifying governance criteria, a signed agreement, documented roles and responsibilities, and an evidenced active review arrangement, used as a composite process indicator of partnership formalisation quality across the programme portfolio.",Partnership Development & Management (https://www.notion.so/Partnership-Development-Management-31260bfb014e8040a0cfd3b9b1df00e7?pvs=21),Community  & Partnership Engagement,Draft,Composite Index,Organisation,1: Process,,,,,Not Published
Proportion of active partners who rate coordination as effective across four defined operational dimensions in the annual partnership review instrument,"Measures the share of active partners who rate joint workplan alignment, resource allocation, delivery gap management, and joint decision-making timeliness as effective in the annual partnership review instrument, used as a proxy for operational coordination effectiveness across the programme partnership portfolio.",Partnership Development & Management (https://www.notion.so/Partnership-Development-Management-31260bfb014e8040a0cfd3b9b1df00e7?pvs=21),Community  & Partnership Engagement,Draft,Scale-Based,Organisation,2: Outcome,,,,,Not Published
Proportion of active partners who rate communication as effective across four defined relational and informational dimensions in the annual partnership review instrument,"Measures the share of active partners who rate information timeliness, message clarity, relevance of information shared, and openness to raising concerns as effective in the annual partnership review instrument, used as a proxy for relational communication effectiveness across the programme partnership portfolio.",Partnership Development & Management (https://www.notion.so/Partnership-Development-Management-31260bfb014e8040a0cfd3b9b1df00e7?pvs=21),Community  & Partnership Engagement,Draft,Scale-Based,Organisation,2: Outcome,,,,,Not Published
Proportion of targeted decision-makers on the programme stakeholder map who participated in at least one structured programme-organised engagement event in the 12 months prior to the survey,"Measures the share of decision-makers on the programme stakeholder map who participated in at least one structured programme-organised engagement event in the 12 months prior to the survey, used as an active engagement coverage rate for the programme's relational influencing strategy.",Stakeholder Communication  & Influence (https://www.notion.so/Stakeholder-Communication-Influence-31260bfb014e8002aaffed8565df821c?pvs=21),Community  & Partnership Engagement,Draft,Quantitative,Organisation,1: Process,,,,,Not Published
Proportion of youth who report participating in at least one voluntary or programme-supported community service or contribution activity in the 12 months prior to the survey,"Measures the share of youth who report participating in at least one voluntary or programme-supported community service or contribution activity in the 12 months prior to the survey, used as a proxy for civic contribution and prosocial engagement beyond the immediate peer group.",Peer leadership and community   contribution (https://www.notion.so/Peer-leadership-and-community-contribution-31260bfb014e80269da9e18c35a3cb35?pvs=21),Contribution  & Leadership,Draft,Quantitative,Individual,2: Outcome,,,,,Not Published
"Proportion of youth who can identify at least one instance where an idea or suggestion they contributed was adopted or acted upon in a group, school, or community setting in the six months prior to the survey","Measures the share of youth who can identify at least one instance where an idea or suggestion they contributed was adopted or acted upon in a group, school, or community setting in the six months prior to the survey, used as an evidenced influence indicator among youth with documented voice access.",Peer leadership and community   contribution (https://www.notion.so/Peer-leadership-and-community-contribution-31260bfb014e80269da9e18c35a3cb35?pvs=21),Contribution  & Leadership,Draft,Quantitative,Individual,2: Outcome,,,,,Not Published
Proportion of youth who report raising a community concern or issue through a formal or structured civic channel in the 12 months prior to the survey,"Measures the share of youth who report raising a community concern or issue through a formal or structured civic channel in the 12 months prior to the survey, used as a proxy for civic advocacy behaviour as a higher-order expression of active citizenship.",Civic Engagement and Active Citizenship (https://www.notion.so/Civic-Engagement-and-Active-Citizenship-33e60bfb014e810bb0adff36a1388ebb?pvs=21),Contribution  & Leadership,Draft,Quantitative,Individual,2: Outcome,,,,,Not Published
"Proportion of youth who report feeling that their contribution and leadership are seen and valued by adults and institutions in their programme and community environment, measured on a validated scale at the time of survey","Measures the share of youth who report feeling that their contribution and leadership are seen and valued by adults and institutions in their programme and community environment, used as a perceptual recognition indicator complementing the formal recognition and visibility indicators.",Recognition and Visibility of Youth Contribution (https://www.notion.so/Recognition-and-Visibility-of-Youth-Contribution-33e60bfb014e816ea1b4c9d55bf8e0d5?pvs=21),Contribution  & Leadership,Draft,Scale-Based,Individual,2: Outcome,,,,,Not Published
"Proportion of youth who report a strong sense of civic agency, civic responsibility, and civic belonging, measured on a validated scale at the time of survey","Measures the share of youth who report a strong sense of civic agency, civic responsibility, and civic belonging, used as a proxy for civic identity as the motivational and identity foundation for sustained active citizenship beyond programme participation.",Civic Engagement and Active Citizenship (https://www.notion.so/Civic-Engagement-and-Active-Citizenship-33e60bfb014e810bb0adff36a1388ebb?pvs=21),Contribution  & Leadership,Draft,Scale-Based,Individual,2: Outcome,,,,,Not Published
Proportion of youth who report participating in at least one formal civic structure or process existing independently of the programme in the 12 months prior to the survey,"Measures the share of youth who report participating in at least one formal civic structure or process existing independently of the programme in the 12 months prior to the survey, used as a proxy for active citizenship development beyond programme-structured settings.",Civic Engagement and Active Citizenship (https://www.notion.so/Civic-Engagement-and-Active-Citizenship-33e60bfb014e810bb0adff36a1388ebb?pvs=21),Contribution  & Leadership,Draft,Quantitative,Individual,2: Outcome,,,,,Not Published
"Equity gap in formal recognition rates across defined youth sub-groups, gender, age band, and community, assessed annually through disaggregated analysis of programme recognition data","Measures whether formal recognition of youth contribution is equitably distributed across gender, age band, and community sub-group within the programme, used as a system-level equity diagnostic to identify structural bias in recognition practices that may reinforce marginalisation.",Recognition and Visibility of Youth Contribution (https://www.notion.so/Recognition-and-Visibility-of-Youth-Contribution-33e60bfb014e816ea1b4c9d55bf8e0d5?pvs=21),Contribution  & Leadership,Draft,Composite Index,System,2: Outcome,,,,,Not Published
"Proportion of youth who can correctly identify at least three basic civic rights and at least one formal accountability mechanism available to them in their community, at the time of survey","Measures the share of youth who can correctly identify at least three basic civic rights and at least one formal accountability mechanism available to them in their community, used as a proxy for foundational civic knowledge as a precondition for informed civic participation.",Civic Engagement and Active Citizenship (https://www.notion.so/Civic-Engagement-and-Active-Citizenship-33e60bfb014e810bb0adff36a1388ebb?pvs=21),Contribution  & Leadership,Draft,Composite Index,Individual,2: Outcome,,,,,Not Published
Proportion of youth whose contribution or leadership was made publicly visible to the broader community beyond the immediate programme or peer group in the 12 months prior to the survey,"Measures the share of youth whose contribution or leadership was made publicly visible to the broader community beyond the immediate programme or peer group in the 12 months prior to the survey, used as a proxy for community visibility of youth contribution as a structural mechanism for sustaining collective investment in youth leadership.",Recognition and Visibility of Youth Contribution (https://www.notion.so/Recognition-and-Visibility-of-Youth-Contribution-33e60bfb014e816ea1b4c9d55bf8e0d5?pvs=21),Contribution  & Leadership,Draft,Quantitative,Community,2: Outcome,,,,,Not Published
"Proportion of youth who report receiving explicit formal acknowledgement of their contribution or leadership from an adult, institution, or community figure in the 12 months prior to the survey","Measures the share of youth who report receiving explicit, documented acknowledgement of their contribution or leadership from an adult, institution, or community figure in the 12 months prior to the survey, used as a proxy for formal recognition as a structural condition for sustained youth participation.",Recognition and Visibility of Youth Contribution (https://www.notion.so/Recognition-and-Visibility-of-Youth-Contribution-33e60bfb014e816ea1b4c9d55bf8e0d5?pvs=21),Contribution  & Leadership,Draft,Quantitative,Individual,2: Outcome,,,,,Not Published
"Proportion of programme partners who submitted their most recent monitoring report using the shared programme reporting template as the primary reporting structure, in the current reporting period","Measures the share of programme partners who submitted their most recent monitoring report using the shared programme reporting template as the primary reporting structure, used as a proxy for reporting format alignment across the partner portfolio.",Partner alignment and shared  evidence (https://www.notion.so/Partner-alignment-and-shared-evidence-31260bfb014e80ac89dffdfcd3a9ed44?pvs=21),Coordination  & Collective Learning,Draft,Quantitative,Organisation,1: Process,,,,,Not Published
"Proportion of convened joint learning or evidence review meetings that produced a documented follow-up action log with named responsible parties and target completion dates, in the programme year","Measures the proportion of convened joint learning or evidence review meetings that produced a documented follow-up action log meeting defined quality criteria, used as a proxy for the substantive productivity of collective learning practice across the programme and its partners.",Shared Learning and Reflection Practices (https://www.notion.so/Shared-Learning-and-Reflection-Practices-33e60bfb014e8129a317d803320cf2ca?pvs=21),Coordination  & Collective Learning,Draft,Quantitative,Organisation,1: Process,,,,,Not Published
"Proportion of shared data submissions that meet defined quality standards for completeness, consistency, and plausibility in the current reporting period","Measures the proportion of shared data submissions that meet defined quality standards for completeness, consistency, and plausibility in the current reporting period, used as a data quality indicator for the joint monitoring system's fitness for collective decision-making.",Data Sharing and Joint Monitoring (https://www.notion.so/Data-Sharing-and-Joint-Monitoring-33e60bfb014e8196a3d2f1db1280c1c3?pvs=21),Coordination  & Collective Learning,Draft,Composite Index,Organisation,1: Process,,,,,Not Published
Whether at least one collective programme decision traceable to shared monitoring data and resulting in a documented programme action occurred in the reporting period,"Measures whether at least one collective programme decision traceable to shared monitoring data and resulting in a documented programme action occurred in the reporting period, used as an outcome indicator for whether joint monitoring is translating into evidence-informed collective decision-making.",Data Sharing and Joint Monitoring (https://www.notion.so/Data-Sharing-and-Joint-Monitoring-33e60bfb014e8196a3d2f1db1280c1c3?pvs=21),Coordination  & Collective Learning,Draft,Binary,Organisation,2: Outcome,,,,,Not Published
"Proportion of programme staff and partner representatives who report embedded collective reflection practice across regularity, usefulness, and visible learning uptake dimensions, measured on a structured instrument at the time of survey","Measures the share of programme staff and partner representatives who report that structured collective reflection is regular, useful, and visibly influencing programme adaptation, used as a proxy for embedded collective reflection practice as a component of a learning culture.",Shared Learning and Reflection Practices (https://www.notion.so/Shared-Learning-and-Reflection-Practices-33e60bfb014e8129a317d803320cf2ca?pvs=21),Coordination  & Collective Learning,Draft,Scale-Based,Organisation,1: Process,,,,,Not Published
Proportion of active programme partners who confirm receipt and can recall at least one lesson from a programme-produced lesson-learned document in the 12 months prior to the survey,"Measures the share of active programme partners who confirm receipt and recall at least one lesson from a programme-produced lesson-learned document in the 12 months prior to the survey, used as a proxy for the reach and uptake of lesson documentation and sharing practice.",Shared Learning and Reflection Practices (https://www.notion.so/Shared-Learning-and-Reflection-Practices-33e60bfb014e8129a317d803320cf2ca?pvs=21),Coordination  & Collective Learning,Draft,Composite Index,Organisation,1: Process,,,,,Not Published
"Proportion of programme partners required to share data who submitted all required data on time, with complete coverage, and in the agreed format in the current reporting period","Measures the share of programme partners required to share data who submitted all required data on time, with complete coverage, and in the agreed format in the current reporting period, used as a process fidelity indicator for the operational functionality of the joint monitoring data sharing system.",Data Sharing and Joint Monitoring (https://www.notion.so/Data-Sharing-and-Joint-Monitoring-33e60bfb014e8196a3d2f1db1280c1c3?pvs=21),Coordination  & Collective Learning,Draft,Quantitative,Organisation,1: Process,,,,,Not Published
"Proportion of planned cross-sector referral pathways that are documented, known to frontline practitioners, and evidenced through at least one referral in the 12 months prior to the survey","Measures the proportion of planned cross-sector referral pathways that are documented, known to frontline practitioners, and evidenced through at least one referral in the 12 months prior to the survey, used as a proxy for the functionality of cross-sector coordination infrastructure.",Cross-Sector Coordination and Referral (https://www.notion.so/Cross-Sector-Coordination-and-Referral-33e60bfb014e812392ccf393b9e987d7?pvs=21),Coordination  & Collective Learning,Draft,Composite Index,System,1: Process,,,,,Not Published
Proportion of cross-sector referrals that received a documented acknowledgement or initial response within the protocol-specified timeframe in the 12 months prior to the survey,"Measures the proportion of cross-sector referrals made through programme-linked pathways that received a documented acknowledgement or initial response within the protocol-specified timeframe in the 12 months prior to the survey, used as a proxy for the operational timeliness of cross-sector referral systems.",Cross-Sector Coordination and Referral (https://www.notion.so/Cross-Sector-Coordination-and-Referral-33e60bfb014e812392ccf393b9e987d7?pvs=21),Coordination  & Collective Learning,Draft,Quantitative,System,1: Process,,,,,Not Published
